time	V(in)	V(out)
Step Information: Index=3  (Run: 3/5)
8.010000000000001e-004	3.300000e+000	8.646559e-001
8.012799999999999e-004	3.300000e+000	9.588622e-001
8.016000000000000e-004	3.300000e+000	1.059024e+000
8.022400000000001e-004	3.300000e+000	1.240038e+000
8.032400000000000e-004	3.300000e+000	1.485207e+000
8.042399999999999e-004	3.300000e+000	1.690269e+000
8.052399999999998e-004	3.300000e+000	1.858173e+000
8.062399999999997e-004	3.300000e+000	1.995651e+000
8.072399999999997e-004	3.300000e+000	2.108217e+000
8.082399999999996e-004	3.300000e+000	2.200386e+000
8.092399999999995e-004	3.300000e+000	2.275853e+000
8.102399999999994e-004	3.300000e+000	2.337645e+000
8.112399999999993e-004	3.300000e+000	2.388239e+000
8.122399999999992e-004	3.300000e+000	2.429666e+000
8.132399999999992e-004	3.300000e+000	2.463586e+000
8.142399999999991e-004	3.300000e+000	2.491359e+000
8.152399999999990e-004	3.300000e+000	2.514100e+000
8.162399999999989e-004	3.300000e+000	2.532720e+000
8.172399999999988e-004	3.300000e+000	2.547966e+000
8.182399999999987e-004	3.300000e+000	2.560449e+000
8.192399999999986e-004	3.300000e+000	2.570670e+000
8.202399999999986e-004	3.300000e+000	2.579039e+000
8.212399999999985e-004	3.300000e+000	2.585891e+000
8.222399999999984e-004	3.300000e+000	2.591502e+000
8.232399999999983e-004	3.300000e+000	2.596097e+000
8.242399999999982e-004	3.300000e+000	2.599858e+000
8.252399999999981e-004	3.300000e+000	2.602938e+000
8.262399999999981e-004	3.300000e+000	2.605460e+000
8.272399999999980e-004	3.300000e+000	2.607525e+000
8.282399999999979e-004	3.300000e+000	2.609215e+000
8.292399999999978e-004	3.300000e+000	2.610600e+000
8.302399999999977e-004	3.300000e+000	2.611733e+000
8.312399999999976e-004	3.300000e+000	2.612661e+000
8.322399999999976e-004	3.300000e+000	2.613421e+000
8.332399999999975e-004	3.300000e+000	2.614043e+000
8.342399999999974e-004	3.300000e+000	2.614553e+000
8.352399999999973e-004	3.300000e+000	2.614970e+000
8.362399999999972e-004	3.300000e+000	2.615312e+000
8.372399999999971e-004	3.300000e+000	2.615592e+000
8.382399999999970e-004	3.300000e+000	2.615820e+000
